quality,compressed_size,mse,ssim
3,8.6982421875,506.62088351779516,0.4729386378819769
18,27.2021484375,127.98174624972873,0.7956564160653716
56,57.4560546875,55.007167392306854,0.8917418020752841
87,118.447265625,19.17647467719184,0.9488930098524214
